time,open,high,low,close
1993-01-29,24.326957059999998,24.33558568,24.21438094,24.300970184999997
1993-02-01,24.313963622499998,24.49111672,24.313963622499998,24.413284785000002
1993-02-02,24.36362420375,24.56030067,24.36362420375,24.4997647175
1993-02-03,24.431694460625,24.81974046,24.431694460625,24.6900205675
1993-02-04,24.560857514062498,24.95810836,24.560857514062498,24.897572405
1993-02-05,24.729214959531248,24.94081237,24.729214959531248,24.867304427500002
1993-02-08,24.798259693515625,24.97540434,24.798259693515625,24.901896400000002
1993-02-09,24.850078046757815,24.850078046757815,24.66407659,24.746232524999996
1993-02-10,24.798155285878906,24.798155285878906,24.6467806,24.720288545000003
1993-02-11,24.759221915439454,24.97540434,24.759221915439454,24.854332435000003
1993-02-12,24.80677717521973,24.83703645,24.68137257,24.759204510000004
1993-02-16,24.782990842609866,24.782990842609866,24.02412509,24.326804852499997
1993-02-17,24.554897847554933,24.554897847554933,23.95494115,24.037097082499997
1993-02-18,24.295997465027465,24.31815686,23.69550135,24.08898504
1993-02-19,24.192491252513733,24.192491252513733,23.98953312,24.0587170625
1993-02-22,24.125604157506867,24.23167693,24.11060502,24.17978897
1993-02-23,24.152696563753434,24.28356489,24.05871706,24.197084955
1993-02-24,24.174890759376716,24.49111672,24.174890759376716,24.344100840000003
1993-02-25,24.25949579968836,24.56030067,24.25949579968836,24.4997647175
1993-02-26,24.37963025859418,24.59489264,24.37963025859418,24.555976672499998
1993-03-01,24.46780346554709,24.66407659,24.46780346554709,24.5775966575
1993-03-02,24.522700061523544,24.87162842,24.49111672,24.690020565000005
1993-03-03,24.606360313261774,24.99270033,24.606360313261774,24.936488372499998
1993-03-04,24.771424342880884,25.00999632,24.771424342880884,24.923516385
1993-03-05,24.84747036394044,24.97540434,24.75055652,24.8413604475
1993-03-08,24.84441540572022,25.32132407,24.81974046,25.070532264999997
1993-03-09,24.95747383536011,25.2867321,24.95747383536011,25.243492132500002
1993-03-10,25.100482983930057,25.2867321,25.100482983930057,25.23484414
1993-03-11,25.16766356196503,25.37321203,25.16766356196503,25.26943611
1993-03-12,25.218549835982515,25.218549835982515,24.80244448,24.949460364999997
1993-03-15,25.084005100491254,25.084005100491254,24.94081237,25.009996315000002
1993-03-16,25.047000707745628,25.14836421,25.047000707745628,25.0964762475
1993-03-17,25.071738477622816,25.071738477622816,24.88892441,24.9754043425
1993-03-18,25.023571410061408,25.18295618,25.023571410061408,25.07918026
1993-03-19,25.051375835030704,25.18035533,25.04133335,25.11084434
